,concept,overall,last_quarter,first_quarter,subject,overall_percentile,last_quarter_percentile,last_quarter_difference
107,hg95,0.9285714285714286,1.0,0.9,gemma_2b,52.17391304347826,100.0,0.0
108,hg96,1.0,1.0,1.0,gemma_2b,100.0,100.0,0.0
109,hg97,0.7209302325581395,0.6,0.7,gemma_2b,45.45454545454546,18.181818181818183,-0.20000000000000007
110,hg98,0.7804878048780488,0.9,0.5,gemma_2b,60.8695652173913,69.56521739130434,0.06666666666666665
111,hg99,0.6046511627906976,0.6,0.7,gemma_2b,14.285714285714285,4.761904761904762,-0.4
0,hg01,0.9444444444444444,1.0,0.7777777777777778,gemma_7b-it,45.45454545454546,100.00000000000001,0.0
1,hg02,0.8297872340425532,1.0,0.2727272727272727,gemma_7b-it,20.0,100.0,0.0
2,hg03,0.7647058823529411,0.8333333333333334,0.6666666666666666,gemma_7b-it,4.0,4.0,-0.16666666666666663
3,hg04,0.8695652173913043,1.0,0.7272727272727273,gemma_7b-it,9.090909090909092,100.00000000000001,0.0
4,hg05,0.7592592592592593,1.0,0.46153846153846156,gemma_7b-it,4.166666666666667,100.0,0.0
5,hg06,0.6046511627906976,0.6,0.6,gemma_7b-it,13.043478260869565,13.043478260869565,-0.4
